,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,song_title,artist
48,0.0855,0.737,332453,0.545,9.32E-05,6,0.153,-8.536,0,0.362,140.086,4,0.438,Mercy,Kanye West
49,0.0411,0.767,179240,0.912,0.402,1,0.0288,-1.157,1,0.054,144.084,4,0.496,Double Bubble Trouble,M.I.A.
50,0.385,0.415,359800,0.681,0,2,0.101,-4.104,0,0.189,171.893,4,0.372,Blood On The Leaves,Kanye West
51,0.0448,0.788,243800,0.617,0,2,0.088,-4.516,1,0.0651,122.065,4,0.13,Upper Echelon,Travis Scott
52,0.0988,0.856,247800,0.874,0.000472,11,0.339,-8.037,0,0.0401,122.416,4,0.91,Got To Give It Up (Part 1),Marvin Gaye
53,0.516,0.525,216520,0.797,5.00E-06,1,0.152,-11.168,0,0.0656,100.518,4,0.769,I Want You - Single Version,Marvin Gaye
54,0.0138,0.677,144280,0.905,0,6,0.219,-4.597,1,0.0721,89.988,4,0.742,Swords,M.I.A.
55,0.119,0.716,263817,0.647,1.38E-05,1,0.121,-4.008,1,0.0345,131.04,4,0.159,Antidote,Travis Scott
56,0.157,0.599,218342,0.524,0,1,0.238,-8.036,1,0.13,83.013,4,0.44,Unbreakable,Janet Jackson
57,0.0146,0.823,274320,0.768,1.03E-06,11,0.127,-6.21,1,0.0819,115.021,4,0.207,Mamacita,Travis Scott
58,0.107,0.826,253747,0.751,7.71E-05,10,0.0596,-9.621,0,0.0564,105.909,4,0.919,I Wish,Stevie Wonder
59,0.369,0.662,236733,0.571,0.000197,6,0.0908,-7.382,0,0.106,152.009,4,0.442,Headlines,Drake
60,0.0425,0.79,173160,0.531,0,8,0.266,-6.968,1,0.197,86.306,4,0.498,Started From the Bottom,Drake
61,0.00402,0.937,225940,0.67,0,9,0.108,-6.149,1,0.107,136.029,4,0.592,"Gone, Gone",Juicy J
62,0.0426,0.794,248413,0.811,1.07E-06,6,0.101,-8.966,0,0.038,116.047,4,0.865,Get Lucky - Radio Edit,Daft Punk
63,0.0302,0.756,256933,0.595,1.98E-06,1,0.146,-6.924,1,0.0333,130.031,4,0.0681,One of Those Nights,Juicy J
64,0.0267,0.821,632693,0.793,1.37E-05,6,0.0751,-9.003,0,0.0391,116.009,4,0.91,Get Lucky - Daft Punk Remix,Daft Punk
65,0.00778,0.786,263120,0.604,0,6,0.102,-8.372,1,0.0614,140.054,4,0.502,Bounce It,Juicy J
66,0.114,0.725,251333,0.661,0,7,0.291,-3.903,1,0.131,127.82,4,0.432,I Wanna Be With You,DJ Khaled
67,0.003,0.766,227027,0.453,3.49E-05,6,0.0923,-6.651,0,0.067,100.002,4,0.346,"Hold On, We're Going Home",Drake
68,0.00525,0.7,307467,0.675,0,2,0.657,-6.362,1,0.149,124.882,4,0.227,No New Friends - SFTB Remix,DJ Khaled
69,0.00349,0.772,227880,0.407,2.40E-05,6,0.0705,-7.442,0,0.0907,100.006,4,0.287,"Hold On, We're Going Home",Drake
70,0.134,0.359,229147,0.662,0,1,0.0907,-2.843,1,0.0466,152.096,4,0.296,Bound 2,Kanye West
71,0.763,0.707,275227,0.709,0,11,0.274,-3.979,0,0.34,89.094,4,0.497,0 To 100 / The Catch Up,Drake
72,0.331,0.578,237672,0.633,0,8,0.635,-10.117,0,0.279,101.534,4,0.635,Mary Jane (Jamie Xx - Girl Remix),Jamie xx
73,0.9,0.582,238400,0.401,0.538,2,0.157,-8.731,1,0.028,112.357,4,0.414,No Woman,Whitney
74,0.0173,0.916,183695,0.571,1.11E-06,10,0.153,-8.241,0,0.2,103.521,4,0.467,For Free,DJ Khaled
75,0.0378,0.81,369627,0.793,1.82E-06,6,0.072,-9.404,0,0.0403,116.049,4,0.86,Get Lucky,Daft Punk
76,0.000954,0.775,188013,0.823,0,1,0.144,-6.091,1,0.271,130.041,4,0.288,Black Skinhead,Kanye West
77,0.00535,0.654,247600,0.641,0.00321,8,0.209,-9.771,1,0.0482,114.696,4,0.778,Let's Dance (Single Version) [2002 Remastered Version],David Bowie
78,0.142,0.714,135920,0.566,1.25E-06,7,0.57,-4.408,1,0.056,113.074,4,0.429,Father Stretch My Hands Pt. 1,Kanye West
79,0.0103,0.745,143214,0.822,4.20E-06,7,0.155,-6.354,1,0.252,86.733,5,0.374,Skepta Interlude,Drake
80,0.062,0.711,223190,0.722,0,5,0.14,-3.946,1,0.0472,99.954,4,0.483,No Vacancy,OneRepublic
81,0.0577,0.565,231906,0.782,4.16E-05,8,0.0757,-6.413,1,0.0506,140.004,4,0.392,Malibu,Miley Cyrus
82,0.238,0.457,210091,0.627,0,5,0.116,-5.091,0,0.111,101.384,4,0.535,Stay (with Alessia Cara),Zedd
83,0.45,0.754,272667,0.762,6.67E-05,6,0.224,-4.486,0,0.0849,92.002,4,0.673,Rollin,Calvin Harris
84,0.549,0.87,160597,0.502,0.00356,5,0.0916,-7.497,0,0.0549,82.53,4,0.676,Whippin (feat. Felix Snow),Kiiara
85,0.00411,0.624,207520,0.806,0,1,0.0872,-5.957,1,0.0437,149.999,4,0.536,Break Up Every Night,The Chainsmokers
86,0.238,0.76,177573,0.303,8.09E-06,2,0.294,-11.362,1,0.0284,99.991,4,0.157,The One,The Chainsmokers
87,0.304,0.804,298941,0.459,0.0862,11,0.11,-11.556,1,0.039,111.963,4,0.372,Passionfruit,Drake
88,0.581,0.825,233713,0.652,0,1,0.0931,-3.183,0,0.0802,95.977,4,0.933,Shape of You,Ed Sheeran
89,0.0991,0.608,232947,0.86,0,5,0.262,-5.324,0,0.0554,127.075,4,0.441,Wild Ones (feat. Sia),Flo Rida
90,0.0656,0.828,299333,0.433,0.000876,0,0.122,-9.716,1,0.199,148.073,4,0.446,Lollipop,Lil Wayne
91,0.0567,0.467,293533,0.564,0,9,0.194,-4.986,0,0.353,81.966,4,0.304,Clique,JAY Z
92,0.071,0.375,338853,0.862,0,11,0.211,-3.363,0,0.255,159.841,4,0.472,Live Your Life - feat. Rihanna,T.I.
93,0.069,0.599,245041,0.803,0.137,0,0.129,-3.641,0,0.0986,126.057,4,0.254,Titanium (feat. Sia),David Guetta
94,0.000704,0.657,190186,0.827,0.00534,5,0.065,-4.036,1,0.0734,145.889,4,0.698,GDFR (feat. Sage The Gemini & Lookas),Flo Rida
95,0.0514,0.786,250189,0.857,0,9,0.112,-3.765,1,0.0734,110.038,4,0.602,The Monster,Eminem
96,0.0762,0.809,195853,0.628,0.000371,11,0.113,-5.021,0,0.0561,130.008,4,0.797,Sexy Bitch (feat. Akon) - Featuring Akon;explicit,David Guetta
97,0.0183,0.745,189959,0.714,0,1,0.0636,-5.501,0,0.0302,120.025,4,0.847,Maps,Maroon 5
98,0.0649,0.663,257840,0.714,0,1,0.116,-4.944,0,0.038,121.99,4,0.471,Counting Stars,OneRepublic
99,0.0378,0.81,369627,0.793,1.82E-06,6,0.072,-9.404,0,0.0403,116.049,4,0.86,Get Lucky,Daft Punk
100,0.0215,0.688,192191,0.702,0,7,0.128,-4.792,0,0.0499,94.006,4,0.731,My House,Flo Rida
101,0.219,0.427,257760,0.861,0,1,0.277,-4.874,1,0.376,161.776,4,0.581,Best I Ever Had,Drake
102,0.0431,0.697,277387,0.527,1.25E-05,0,0.0882,-10.438,0,0.211,121.849,4,0.289,Take Care,Drake
103,0.00631,0.636,180400,0.802,4.14E-05,2,0.059,-2.168,1,0.167,139.815,4,0.334,Right In,Skrillex
104,0.0145,0.716,215253,0.972,3.22E-05,7,0.317,-2.302,1,0.196,110.026,4,0.566,Bangarang (feat. Sirah),Skrillex
105,0.0049,0.596,301987,0.921,0.00019,11,0.536,-2.5,0,0.074,139.969,4,0.232,Breakn' A Sweat,Skrillex
106,0.00075,0.616,292907,0.946,0.0777,1,0.355,-2.876,1,0.0687,127.992,4,0.332,The Devil's Den,Skrillex
107,0.0106,0.633,245053,0.926,0.54,11,0.133,-4.749,0,0.0971,140.037,4,0.493,Right On Time,Skrillex
108,0.0012,0.605,200787,0.92,0.000596,4,0.483,-2.298,0,0.0713,174.974,4,0.22,Kyoto (feat. Sirah),Skrillex
109,0.654,0.176,414747,0.479,0.591,7,0.13,-7.471,0,0.0282,100.831,4,0.0622,Skrillex Orchestral Suite By Varien - Bonus Track,Skrillex
110,0.328,0.68,231679,0.593,0,1,0.105,-6.496,1,0.176,94.007,4,0.396,Nosedive,Dynamic Duo
111,0.564,0.676,238895,0.508,0.000142,2,0.101,-7.515,1,0.0577,106.015,4,0.327,Loop,NELL
112,0.264,0.62,225800,0.529,0,5,0.354,-5.333,0,0.0353,94.951,4,0.572,What 2 Do,DEAN
113,0.00129,0.823,207293,0.815,0.0494,11,0.599,-3.947,1,0.134,125.989,4,0.473,Chicken Soup,Skrillex
114,0.125,0.72,230853,0.746,0.000476,11,0.0929,-5.567,0,0.0985,124.045,4,0.508,Something Just Like This - Don Diablo Remix,The Chainsmokers
115,0.0533,0.599,288877,0.667,0,7,0.134,-4.267,1,0.0367,80.984,4,0.811,I'm the One,DJ Khaled
116,0.0105,0.615,224773,0.564,0,9,0.148,-6.384,1,0.0291,103.006,4,0.443,Young,The Chainsmokers
117,0.00466,0.722,182728,0.614,0,11,0.106,-7.549,0,0.115,154.903,4,0.504,XO TOUR Llif3,Lil Uzi Vert
118,0.0018,0.598,205746,0.748,0.000196,8,0.116,-6.239,1,0.0706,130.057,4,0.321,Confident,Demi Lovato
119,0.00477,0.585,214740,0.614,0.000155,10,0.0762,-5.594,0,0.037,114.059,4,0.273,Cool for the Summer,Demi Lovato
120,0.214,0.626,204188,0.695,0,7,0.224,-6.528,0,0.0594,154.023,4,0.586,Old Ways,Demi Lovato
121,0.0418,0.505,221050,0.705,0,5,0.0815,-6.097,1,0.0395,126.021,4,0.309,For You,Demi Lovato
122,0.48,0.414,191308,0.469,0,8,0.0974,-7.583,1,0.0485,139.401,3,0.322,Stone Cold,Demi Lovato
123,0.0234,0.556,244014,0.802,0,5,0.398,-5.089,0,0.0694,176.003,4,0.263,Kingdom Come,Demi Lovato
124,0.242,0.587,192918,0.659,0,7,0.0874,-6.406,0,0.203,150.026,4,0.411,Waitin for You,Demi Lovato
125,0.559,0.628,199140,0.694,0,5,0.0556,-3.909,0,0.0378,130.057,4,0.447,Wildfire,Demi Lovato
126,0.951,0.173,649415,0.0619,0.526,5,0.132,-20.788,1,0.0466,72.695,4,0.0886,"String Quintet in C Major, Op. 29: II. Adagio molto espressivo",Ludwig van Beethoven
127,0.0359,0.761,219120,0.639,0,5,0.0945,-7.577,0,0.0539,164.088,4,0.933,You Make Me Wanna...,Usher
128,0.0757,0.572,297893,0.853,0,1,0.0798,-3.203,1,0.217,171.297,4,0.0995,Till I Collapse,Eminem
129,0.114,0.858,290836,0.697,0,2,0.224,-5.361,1,0.23,98.012,4,0.365,$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),Lil Dicky
130,0.122,0.7,234308,0.714,0,9,0.0428,-6.295,0,0.104,99.909,4,0.482,Cold,Maroon 5
131,0.178,0.644,200613,0.842,0,8,0.0796,-4.787,1,0.0429,99.05,4,0.852,Popular Song,MIKA
132,0.0788,0.873,301200,0.591,0.0071,7,0.104,-8.942,1,0.102,123.091,4,0.49,Together Again,Janet Jackson
133,0.135,0.729,272360,0.914,0.000672,2,0.156,-4.043,1,0.041,127.907,4,0.918,Someone To Call My Lover,Janet Jackson
134,0.0264,0.815,283934,0.944,0.00038,1,0.181,-6.698,1,0.0513,115.219,4,0.681,Escapade,Janet Jackson
135,0.00819,0.651,232227,0.645,0,1,0.0919,-6.741,1,0.223,96.394,4,0.668,Stay,Ne-Yo
136,0.273,0.699,207187,0.592,0,6,0.202,-8.298,1,0.262,94.933,4,0.587,So Sick,Ne-Yo
137,0.304,0.654,222000,0.564,0,6,0.107,-7.186,1,0.235,86.948,4,0.458,When You're Mad,Ne-Yo
138,0.265,0.622,220853,0.503,0.000473,8,0.0596,-6.417,1,0.0433,93.984,4,0.6,Sexy Love,Ne-Yo
139,0.0138,0.701,283093,0.457,0,8,0.054,-8.562,0,0.0311,127.925,4,0.292,Slow Jam,Usher
140,0.0227,0.816,247840,0.5,1.53E-06,1,0.0733,-4.551,1,0.03,124.037,4,0.654,U Got It Bad,Usher
141,0.257,0.662,223440,0.507,0,5,0.0465,-8.238,1,0.118,86.412,4,0.652,My Boo,Usher
142,0.466,0.635,244160,0.54,0,7,0.0524,-8.122,1,0.0246,99.99,4,0.586,Don't Love You No More (I'm Sorry),Craig David
143,0.0236,0.92,293827,0.654,0.0158,11,0.0359,-3.051,0,0.0401,117.046,4,0.856,Billie Jean,Michael Jackson
144,0.0491,0.779,258040,0.867,7.98E-06,3,0.197,-3.704,0,0.0457,138.858,4,0.918,Beat It - Single Version,Michael Jackson
145,0.11,0.758,198507,0.927,0.0285,9,0.374,-2.768,1,0.0509,115.076,4,0.953,Black or White - Single Version,Michael Jackson
146,0.0367,0.608,297400,0.816,0.000554,1,0.116,-5.926,1,0.11,114.484,4,0.497,The Way You Make Me Feel,Michael Jackson
147,0.43,0.794,319307,0.798,1.15E-05,8,0.114,-5.639,1,0.0366,100.338,4,0.268,Man In The Mirror,Michael Jackson
148,0.23,0.888,238733,0.815,0.000424,11,0.127,-4.909,0,0.0404,127.273,4,0.96,P.Y.T. (Pretty Young Thing),Michael Jackson
149,0.143,0.658,252053,0.696,0,3,0.131,-4.293,1,0.0707,85.998,4,0.655,With You,Chris Brown
150,0.0371,0.672,278036,0.819,0.000184,11,0.203,-4.457,1,0.0463,120.013,4,0.452,Forever,Chris Brown
151,0.106,0.677,152333,0.437,0,4,0.0897,-7.413,1,0.0322,108.054,4,0.455,"When Will My Life Begin - From ""Tangled""/Soundtrack Version",Mandy Moore
152,0.845,0.24,224240,0.16,0,5,0.0842,-14.213,1,0.0301,92.742,4,0.199,"I See the Light - From ""Tangled""/Soundtrack Version",Mandy Moore
153,0.0584,0.967,242733,0.583,0,7,0.0519,-5.562,0,0.0789,117,4,0.965,SexyBack,Justin Timberlake
154,0.139,0.671,243493,0.727,0,7,0.123,-7.585,1,0.035,102.358,4,0.82,Fantasy,Mariah Carey
155,0.153,0.831,239227,0.921,0.00213,5,0.305,-2.383,0,0.0581,108.002,4,0.808,Remember the Time,Michael Jackson
156,0.573,0.498,200400,0.467,0,1,0.103,-7.283,1,0.03,117.78,4,0.402,Against All Odds (Take a Look at Me Now),Mariah Carey
157,0.453,0.511,406280,0.453,0.000212,3,0.0865,-6.803,0,0.0314,138.309,4,0.142,Earth Song - Remastered Version,Michael Jackson
158,0.267,0.563,315787,0.847,0,0,0.243,-6.19,1,0.325,82.757,4,0.81,Can I Touch You...There?,Michael Bolton
159,0.00574,0.682,192000,0.812,0,1,0.0553,-2.691,0,0.118,104.891,4,0.347,Shape of You (Major Lazer Remix) [feat. Nyla & Kranium],Ed Sheeran
160,0.0202,0.333,174240,0.913,0,2,0.146,-3.722,1,0.0808,99.889,4,0.129,Paris - Pegboard Nerds Remix,The Chainsmokers
161,0.00087,0.465,265600,0.953,0.0146,8,0.226,-4.684,0,0.295,160.064,4,0.554,Don't Let Me Down - Zomboy Remix,The Chainsmokers
162,0.00262,0.484,224320,0.609,0,11,0.339,-5.652,0,0.0303,131.049,4,0.266,Something Just Like This - ARMNHMR Remix,The Chainsmokers
